rank;year;month;album
42;2025;3;ROMANCE : UNTOLD
99;2025;3;DIMENSION : DILEMMA
55;2025;2;ROMANCE : UNTOLD
79;2025;2;ROMANCE : UNTOLD -daydream-
80;2025;2;DARK BLOOD
88;2025;2;DIMENSION : DILEMMA
24;2025;1;ROMANCE : UNTOLD
47;2025;1;ROMANCE : UNTOLD -daydream-
21;2024;12;ROMANCE : UNTOLD -daydream-
42;2024;12;DARK BLOOD
45;2024;12;ROMANCE : UNTOLD
51;2024;12;ORANGE BLOOD
76;2024;12;DIMENSION : DILEMMA
2;2024;11;ROMANCE : UNTOLD -daydream-
11;2024;11;ROMANCE : UNTOLD -daydream- (Weverse)
28;2024;11;ORANGE BLOOD
41;2024;11;ROMANCE : UNTOLD
83;2024;11;DARK BLOOD
49;2024;10;ROMANCE : UNTOLD
97;2024;10;ORANGE BLOOD
31;2024;9;ORANGE BLOOD
43;2024;9;ROMANCE : UNTOLD
49;2024;9;ROMANCE : UNTOLD (Weverse)
60;2024;9;DARK BLOOD
65;2024;9;DIMENSION : DILEMMA
70;2024;9;DIMENSION : ANSWER
91;2024;9;MANIFESTO : DAY 1
92;2024;9;BORDER : DAY ONE
5;2024;8;ROMANCE : UNTOLD
10;2024;8;ROMANCE : UNTOLD (Weverse)
41;2024;8;ORANGE BLOOD
64;2024;8;DIMENSION : DILEMMA
83;2024;8;DIMENSION : ANSWER
84;2024;8;DARK BLOOD
2;2024;7;ROMANCE : UNTOLD
6;2024;7;ROMANCE : UNTOLD (Weverse)
29;2024;7;ORANGE BLOOD
70;2024;7;DIMENSION : DILEMMA
89;2024;7;DARK BLOOD
39;2024;6;ORANGE BLOOD
62;2024;6;DIMENSION : DILEMMA
80;2024;6;DARK BLOOD
87;2024;6;DIMENSION : ANSWER
92;2024;6;BORDER : CARNIVAL
8;2024;5;DARK MOON SPECIAL ALBUM ? MEMORABILIA ?
60;2024;5;ORANGE BLOOD
81;2024;5;DIMENSION : DILEMMA
84;2024;5;DIMENSION : ANSWER
87;2024;5;BORDER : CARNIVAL
88;2024;5;DARK BLOOD
35;2024;4;ORANGE BLOOD
64;2024;4;DIMENSION : DILEMMA
71;2024;4;DIMENSION : ANSWER
73;2024;4;DARK BLOOD
34;2024;3;ORANGE BLOOD
42;2024;3;DIMENSION : DILEMMA
49;2024;3;DIMENSION : ANSWER
70;2024;3;DARK BLOOD
88;2024;3;ORANGE BLOOD (Weverse)
90;2024;3;BORDER : CARNIVAL
22;2024;2;ORANGE BLOOD
34;2024;2;DIMENSION : DILEMMA
40;2024;2;DIMENSION : ANSWER
55;2024;2;DARK BLOOD
62;2024;2;ORANGE BLOOD (Weverse)
74;2024;2;BORDER : DAY ONE
96;2024;2;BORDER : CARNIVAL
65;2024;1;DARK BLOOD
72;2024;1;DIMENSION : DILEMMA
77;2024;1;BORDER : CARNIVAL
86;2024;1;DIMENSION : ANSWER
92;2024;1;BORDER : DAY ONE
11;2023;12;ORANGE BLOOD (Weverse)
17;2023;12;ORANGE BLOOD
20;2023;12;DARK BLOOD
71;2023;12;DIMENSION : DILEMMA
4;2023;11;ORANGE BLOOD
10;2023;11;ORANGE BLOOD (Weverse)
72;2023;11;DARK BLOOD
74;2023;10;BORDER : CARNIVAL
75;2023;10;DARK BLOOD
78;2023;10;DIMENSION : DILEMMA
95;2023;10;BORDER : DAY ONE
38;2023;9;DARK BLOOD
94;2023;9;DIMENSION : ANSWER
89;2023;8;DIMENSION : DILEMMA
58;2023;7;DARK BLOOD
77;2023;7;DARK BLOOD (Weverse)
83;2023;7;DIMENSION : DILEMMA
86;2023;7;DIMENSION : ANSWER
19;2023;6;DARK BLOOD
50;2023;6;DARK BLOOD (Weverse)
2;2023;5;DARK BLOOD
8;2023;5;DARK BLOOD (Weverse)
66;2023;5;DIMENSION : DILEMMA
81;2023;5;BORDER : CARNIVAL
84;2023;5;MANIFESTO : DAY 1
94;2023;5;DIMENSION : ANSWER
88;2023;4;DIMENSION : DILEMMA
93;2023;3;DIMENSION : DILEMMA
98;2023;2;DIMENSION : DILEMMA
64;2023;1;DIMENSION : DILEMMA
79;2023;1;BORDER : CARNIVAL
90;2023;1;BORDER : DAY ONE
91;2023;1;MANIFESTO : DAY 1
92;2023;1;DIMENSION : ANSWER
60;2022;12;BORDER : CARNIVAL
66;2022;12;DIMENSION : DILEMMA
81;2022;12;BORDER : DAY ONE
25;2022;9;BORDER : CARNIVAL
57;2022;9;BORDER : DAY ONE
64;2022;8;DIMENSION : DILEMMA
83;2022;8;BORDER : DAY ONE
92;2022;8;BORDER : CARNIVAL
97;2022;8;DIMENSION : ANSWER
2;2022;7;MANIFESTO : DAY 1
14;2022;7;MANIFESTO : DAY 1 (Weverse)
96;2022;6;DIMENSION : DILEMMA
57;2022;5;DIMENSION : DILEMMA
96;2022;5;BORDER : CARNIVAL
59;2022;4;BORDER : DAY ONE
60;2022;4;DIMENSION : DILEMMA
74;2022;4;BORDER : CARNIVAL
86;2022;4;DIMENSION : ANSWER
52;2022;3;DIMENSION : ANSWER
54;2022;3;DIMENSION : DILEMMA
56;2022;3;BORDER : DAY ONE
72;2022;3;BORDER : CARNIVAL
22;2022;2;DIMENSION : DILEMMA
29;2022;2;BORDER : DAY ONE
36;2022;2;BORDER : CARNIVAL
53;2022;2;DIMENSION : ANSWER
1;2022;1;DIMENSION : ANSWER
32;2022;1;DIMENSION : DILEMMA
45;2022;1;BORDER : DAY ONE
46;2022;1;BORDER : CARNIVAL
24;2021;12;DIMENSION : DILEMMA
35;2021;12;BORDER : CARNIVAL
42;2021;12;BORDER : DAY ONE
19;2021;11;DIMENSION : DILEMMA
38;2021;11;BORDER : DAY ONE
39;2021;11;BORDER : CARNIVAL
2;2021;10;DIMENSION : DILEMMA
33;2021;10;BORDER : CARNIVAL
43;2021;10;BORDER : DAY ONE
17;2021;9;BORDER : CARNIVAL
35;2021;9;BORDER : DAY ONE
26;2021;8;BORDER : CARNIVAL
30;2021;8;BORDER : DAY ONE
13;2021;7;BORDER : CARNIVAL
30;2021;7;BORDER : DAY ONE
41;2021;6;BORDER : CARNIVAL
55;2021;6;BORDER : DAY ONE
5;2021;5;BORDER : CARNIVAL
52;2021;5;BORDER : DAY ONE
1;2021;4;BORDER : CARNIVAL
49;2021;4;BORDER : DAY ONE
19;2021;3;BORDER : DAY ONE
81;2021;2;BORDER : DAY ONE
20;2021;1;BORDER : DAY ONE
9;2020;12;BORDER : DAY ONE
2;2020;11;BORDER : DAY ONE
